Date,Sender,Reason,Candidate Amount,Candidate Type,Candidate Party,Reference,Raw SMS
2026-05-06 23:02,Telecharge,Multiple matching accounts,15.00,Expense,,,Transaction ID is 000244082105 . 8801513905199 has recharged your account with 15.00 Taka.
2026-04-17 00:25,Telecharge,Multiple matching accounts,15.00,Expense,,,Transaction ID is 000235095865 . 8801513905199 has recharged your account with 15.00 Taka.
2026-04-14 11:12,Telecharge,Multiple matching accounts,50.00,Expense,,,Transaction ID is 000233770404 . 8801513926066 has recharged your account with 50.00 Taka.
2026-04-12 19:30,16216,SMS could not be parsed: NotATransaction,,,,,Tk800.00 paid to DPDC Id 1011 Bill No 32205988 TxnId:6389591048 Fee: Tk.00 Date:12-APR-26 07:30:40 pm.
2026-04-12 19:24,16216,SMS could not be parsed: NotATransaction,,,,,"Cash-In from A/C: ***106 Tk800.00 Fee: Tk.00, Your A/C Balance: Tk803.95.TxnId:6389476752 Date:12-APR-26 07:23:58 pm. Download https://bit.ly/nexuspay"
2026-03-27 11:12,EBL,SMS could not be parsed: NoAmountFound,,,,,"Dear valued customer,
Please note that due to urgent maintenance on the NPSB system, services including ATM, POS, QR Code, E-Commerce, and EBL Skybanking will be temporarily unavailable on 28 March 2026 from 12:01 PM to 1:00 PM. We apologize for any inconvenience and appreciate your understanding."
2026-03-09 13:15,16216,SMS could not be parsed: NotATransaction,,,,,"Cash-In from A/C: ***106 Tk950.00 Fee: Tk.00, Your A/C Balance: Tk953.95.TxnId:6253897323 Date:09-MAR-26 01:15:10 pm. Download https://bit.ly/nexuspay"
2026-03-02 16:52,Telecharge,Multiple matching accounts,10.00,Expense,,,Transaction ID is 000214268907 . 8801513925317 has recharged your account with 10.00 Taka.
2026-02-28 08:05,Telecharge,Multiple matching accounts,18.00,Expense,,,Transaction ID is 000213166525 . 8801513905199 has recharged your account with 18.00 Taka.
2026-01-23 09:59,16216,SMS could not be parsed: NotATransaction,,,,,"Cash-In from A/C: ***106 Tk100.00 Fee: Tk.00, Your A/C Balance: Tk103.95.TxnId:6100475809 Date:23-JAN-26 09:59:11 am. Download https://bit.ly/nexuspay"
2026-01-15 18:23,Telecharge,Multiple matching accounts,15.00,Expense,,,Transaction ID is 000194014975 . 1513925418 has recharged your account with 15.00 Taka.
2026-01-15 10:05,Telecharge,Multiple matching accounts,22.00,Expense,,,Transaction ID is 000193747169 . 8801513905199 has recharged your account with 22.00 Taka.
2026-01-14 06:48,Telecharge,Multiple matching accounts,15.00,Expense,,,Transaction ID is 000193235244 . 8801513905199 has recharged your account with 15.00 Taka.
2026-01-12 18:14,EBL,SMS could not be parsed: NoAmountFound,,,,,"Dear Customer, your Yearly Deposit A/C(s) Statement & Balance Confirmation Certificate are sent to your registered e-mail address. Helpline 16230."
2025-12-25 13:42,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000184141702 . 8801513925313 has recharged your account with 20.00 Taka.
2025-12-14 21:10,16216,SMS could not be parsed: NotATransaction,,,,,Tk950.00 paid to DPDC Id 1011 Bill No 32205988 TxnId:5989370400 Fee: Tk.00 Date:14-DEC-25 09:10:16 pm.
2025-12-14 21:02,16216,SMS could not be parsed: NotATransaction,,,,,"Cash-In from A/C: ***106 Tk1,000.00 Fee: Tk.00, Your A/C Balance: Tk1,003.95.TxnId:5989362010 Date:14-DEC-25 09:02:48 pm. Download https://bit.ly/nexuspay"
2025-12-11 13:19,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000177484395 . 8801513905199 has recharged your account with 20.00 Taka.
2025-11-26 16:38,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000170114324 . 8801513925317 has recharged your account with 20.00 Taka.
2025-11-26 16:38,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000170114290 . 1513925418 has recharged your account with 20.00 Taka.
2025-11-18 22:38,Telecharge,Multiple matching accounts,10.00,Expense,,,Transaction ID is 000166155651 . 8801513905199 has recharged your account with 10.00 Taka.
2025-11-13 20:48,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000163676680 . 8801513925314 has recharged your account with 20.00 Taka.
2025-11-12 14:35,16216,SMS could not be parsed: NotATransaction,,,,,"Tk3,425.00 paid to Kabi Nazrul Govt. College Id 4422 Bill No 2202122250147 TxnId:5897406540 Fee: Tk41.10 Date:12-NOV-25 02:34:59 pm."
2025-11-12 14:34,16216,SMS could not be parsed: NotATransaction,,,,,"Cash-In from A/C: ***106 Tk100.00 Fee: Tk.00, Your A/C Balance: Tk3,520.05.TxnId:5897462058 Date:12-NOV-25 02:34:16 pm. Download https://bit.ly/nexuspay"
2025-11-12 14:13,16216,SMS could not be parsed: NotATransaction,,,,,"Tk3,246.00 paid to Kabi Nazrul Govt. College Id 4422 Bill No 2202122250147 TxnId:5897446445 Fee: Tk38.95 Date:12-NOV-25 02:13:35 pm."
2025-11-12 14:11,16216,SMS could not be parsed: NotATransaction,,,,,"Cash-In from A/C: ***580 Tk6,500.00 Fee: Tk.00, Your A/C Balance: Tk6,705.00.TxnId:5897394463 Date:12-NOV-25 02:11:29 pm. Download https://bit.ly/nexuspay"
2025-11-11 17:20,16216,SMS could not be parsed: NotATransaction,,,,,"Cash-In from A/C: ***106 Tk300.00 Fee: Tk.00, Your A/C Balance: Tk305.00.TxnId:5894887296 Date:11-NOV-25 05:20:27 pm. Download https://bit.ly/nexuspay"
2025-11-11 10:22,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000162218177 . 1513925415 has recharged your account with 20.00 Taka.
2025-11-10 09:17,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000161710178 . 8801513905199 has recharged your account with 20.00 Taka.
2025-11-05 21:24,16216,SMS could not be parsed: NotATransaction,,,,,Tk900.00 paid to DPDC Id 1011 Bill No 32205988 TxnId:5871695766 Fee: Tk.00 Date:05-NOV-25 09:24:01 pm.
2025-11-05 21:20,16216,SMS could not be parsed: NotATransaction,,,,,"Cash-In from A/C: ***106 Tk1,000.00 Fee: Tk.00, Your A/C Balance: Tk1,005.00.TxnId:5871527105 Date:05-NOV-25 09:20:17 pm. Download https://bit.ly/nexuspay"
2025-11-01 22:54,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000157988691 . 8801513905199 has recharged your account with 20.00 Taka.
2025-11-01 20:55,Telecharge,Multiple matching accounts,30.00,Expense,,,Transaction ID is 000157943783 . 8801513905199 has recharged your account with 30.00 Taka.
2025-10-29 06:48,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000156251370 . 8801553947096 has recharged your account with 20.00 Taka.
2025-10-29 06:48,16216,Multiple matching accounts,20.00,Expense,,5851375883,"Tk20.00 debited to recharge mobile 01581047578, Your A/C Balance:Tk5.00 TxnId: 5851375883 Date:29-OCT-25 06:48:19 am. Pls download https://bit.ly/nexuspay"
2025-10-27 20:13,16216,SMS could not be parsed: NotATransaction,,,,,"Cash-In from A/C: ***106 Tk100.00 Fee: Tk.00, Your A/C Balance: Tk105.00.TxnId:5847944198 Date:27-OCT-25 08:13:05 pm. Download https://bit.ly/nexuspay"
2025-10-26 14:54,Telecharge,Multiple matching accounts,10.00,Expense,,,Transaction ID is 000155060907 . 8801513925314 has recharged your account with 10.00 Taka.
2025-10-18 10:56,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000151196949 . 1513925418 has recharged your account with 20.00 Taka.
2025-10-15 14:40,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000149842429 . 8801513905199 has recharged your account with 20.00 Taka.
2025-10-13 12:22,16216,SMS could not be parsed: NotATransaction,,,,,"Tk1,000.00 paid to DPDC Id 1011 Bill No 32205988 TxnId:5809792094 Fee: Tk.00 Date:13-OCT-25 12:22:02 pm."
2025-10-13 12:21,16216,SMS could not be parsed: NotATransaction,,,,,"Cash-In from A/C: ***106 Tk1,000.00 Fee: Tk.00, Your A/C Balance: Tk1,005.00.TxnId:5809791606 Date:13-OCT-25 12:21:34 pm. Download https://bit.ly/nexuspay"
2025-10-01 23:34,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000143504758 . 8801513926066 has recharged your account with 20.00 Taka.
2025-10-01 00:01,Telecharge,Multiple matching accounts,30.00,Expense,,,Transaction ID is 000143077089 . 8801513905199 has recharged your account with 30.00 Taka.
2025-09-29 19:24,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000142489807 . 8801513905199 has recharged your account with 20.00 Taka.
2025-09-27 21:43,Telecharge,Multiple matching accounts,30.00,Expense,,,Transaction ID is 000141635752 . 8801513926067 has recharged your account with 30.00 Taka.
2025-09-24 20:26,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000140249087 . 8801513926066 has recharged your account with 20.00 Taka.
2025-09-23 18:25,Telecharge,Multiple matching accounts,25.00,Expense,,,Transaction ID is 000139724371 . 8801513926067 has recharged your account with 25.00 Taka.
2025-09-22 22:17,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000139430757 . 8801513926066 has recharged your account with 20.00 Taka.
2025-09-22 19:03,Telecharge,Multiple matching accounts,16.00,Expense,,,Transaction ID is 000139324036 . 8801513905199 has recharged your account with 16.00 Taka.
2025-09-20 12:33,bKashNotice,SMS could not be parsed: NotATransaction,,,,,Bill successfully paid. Biller: DPDC (Prepaid) Contact: 01581047578 A/C: 32205988 Amount: Tk 1000.0 Fee: Tk 0.0 TrxID: CIK6JTNI52 at 20/09/25 12:23PM
2025-09-16 00:01,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000136448115 . 8801513905199 has recharged your account with 20.00 Taka.
2025-09-15 06:56,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000136032294 . 8801513905199 has recharged your account with 20.00 Taka.
2025-09-13 18:37,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000135435668 . 8801513926067 has recharged your account with 20.00 Taka.
2025-09-10 00:20,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000133799617 . 8801513905199 has recharged your account with 20.00 Taka.
2025-09-07 21:22,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000132821543 . 8801513926066 has recharged your account with 20.00 Taka.
2025-09-07 09:38,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000132468257 . 8801513905199 has recharged your account with 20.00 Taka.
2025-09-05 01:00,Telecharge,Multiple matching accounts,25.00,Expense,,,Transaction ID is 000131590674 . 8801553947096 has recharged your account with 25.00 Taka.
2025-09-05 01:00,16216,Multiple matching accounts,25.00,Expense,,5698407263,"Tk25.00 debited to recharge mobile 01581047578, Your A/C Balance:Tk5.00 TxnId: 5698407263 Date:05-SEP-25 01:00:15 am. Pls download https://bit.ly/nexuspay"
2025-09-04 14:21,16216,Multiple matching accounts,20.00,Expense,,5696591852,"Tk20.00 debited to recharge mobile 01581047578, Your A/C Balance:Tk30.00 TxnId: 5696591852 Date:04-SEP-25 02:21:19 pm. Pls download https://bit.ly/nexuspay"
2025-09-04 14:21,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000131306501 . 8801553947096 has recharged your account with 20.00 Taka.
2025-09-04 14:18,16216,SMS could not be parsed: NotATransaction,,,,,"Tk3,155.00 paid to EDEN MOHILA COLLEGE, DHAKA Id 1873 Bill No 2202324340065 TxnId:5696588967 Fee: Tk Date:04-SEP-25 02:18:07 pm."
2025-09-04 12:31,16216,SMS could not be parsed: NotATransaction,,,,,"Cash-In from A/C: ***106 Tk3,200.00 Fee: Tk.00, Your A/C Balance: Tk3,205.00.TxnId:5696247448 Date:04-SEP-25 12:31:08 pm. Download https://bit.ly/nexuspay"
2025-09-04 08:31,+8801969926075,Multiple matching accounts,1000.00,Expense,DPDC,,"Dear Customer, Tk. 1000 (Details : Energy Cost:957.12,VAT:47.62:Rebate Amount-4.74) is successfully recharged for Meter no 70039035 and Customer no 32205988. Your meter balance is Tk. 489.45 as on 2025-09-04.  Thanking You,  DPDC."
2025-09-04 00:58,16216,SMS could not be parsed: NotATransaction,,,,,"Tk1,000.00 paid to DPDC Id 1011 Bill No 32205988 TxnId:5695542139 Fee: Tk.00 Date:04-SEP-25 12:58:00 am."
2025-09-03 10:03,Telecharge,Multiple matching accounts,30.00,Expense,,,Transaction ID is 000130755736 . 1513925415 has recharged your account with 30.00 Taka.
2025-09-03 09:23,16216,SMS could not be parsed: NotATransaction,,,,,"Cash-In from A/C: ***302 Tk1,000.00 Fee: Tk.00, Your A/C Balance: Tk1,005.00.TxnId:5693557413 Date:03-SEP-25 09:23:37 am. Download https://bit.ly/nexuspay"
2025-08-28 15:07,Telecharge,Multiple matching accounts,30.00,Expense,,,Transaction ID is 000128271377 . 1553951638 has recharged your account with 30.00 Taka.
2025-08-27 21:24,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000128023727 . 8801513926067 has recharged your account with 20.00 Taka.
2025-08-27 15:06,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000127830559 . 8801513926066 has recharged your account with 20.00 Taka.
2025-08-26 23:25,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000127641160 . 1513925418 has recharged your account with 20.00 Taka.
2025-08-26 18:24,Telecharge,Multiple matching accounts,30.00,Expense,,,Transaction ID is 000127482574 . 1513925418 has recharged your account with 30.00 Taka.
2025-08-26 00:38,Telecharge,Multiple matching accounts,12.00,Expense,,,Transaction ID is 000127223463 . 8801513905199 has recharged your account with 12.00 Taka.
2025-08-24 17:45,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000126588531 . 8801513926067 has recharged your account with 20.00 Taka.
2025-08-23 10:23,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000125966009 . 8801513905199 has recharged your account with 20.00 Taka.
2025-08-20 17:27,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000124764285 . 8801513905199 has recharged your account with 20.00 Taka.
2025-08-20 10:02,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000124578841 . 8801513905199 has recharged your account with 20.00 Taka.
2025-08-19 23:15,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000124500453 . 1513925418 has recharged your account with 20.00 Taka.
2025-08-19 12:55,+8801969926075,Multiple matching accounts,985.00,Expense,DPDC,,"Dear Customer, Tk. 985.0 (Details : Energy Cost:942.77,VAT:46.9:Rebate Amount-4.67) is successfully recharged for Meter no 70039035 and Customer no 32205988. Your meter balance is Tk. 228.42 as on 2025-08-19.  Thanking You,  DPDC."
2025-08-19 12:50,bKashNotice,SMS could not be parsed: NotATransaction,,,,,Bill successfully paid. Biller: DPDC (Prepaid) Contact: 01581047578 A/C: 32205988 Amount: Tk 985.0 Fee: Tk 0.0 TrxID: CHJ1MM268L at 19/08/25 12:49PM
2025-08-19 09:46,Telecharge,Multiple matching accounts,30.00,Expense,,,Transaction ID is 000124111693 . 1513925418 has recharged your account with 30.00 Taka.
2025-08-18 11:14,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000123709050 . 8801513926067 has recharged your account with 20.00 Taka.
2025-08-17 17:26,Telecharge,Multiple matching accounts,30.00,Expense,,,Transaction ID is 000123402126 . 8801513926066 has recharged your account with 30.00 Taka.
2025-08-16 20:13,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000123062720 . 8801513905199 has recharged your account with 20.00 Taka.
2025-08-15 18:41,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000122580855 . 8801513905199 has recharged your account with 20.00 Taka.
2025-08-14 17:22,Telecharge,Multiple matching accounts,30.00,Expense,,,Transaction ID is 000122131433 . 8801513905199 has recharged your account with 30.00 Taka.
2025-08-13 19:06,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000121742455 . 1513925418 has recharged your account with 20.00 Taka.
2025-08-12 14:13,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000121191487 . 8801513926066 has recharged your account with 20.00 Taka.
2025-08-09 15:10,Telecharge,Multiple matching accounts,30.00,Expense,,,Transaction ID is 000119917108 . 1553951638 has recharged your account with 30.00 Taka.
2025-08-07 12:19,Telecharge,Multiple matching accounts,30.00,Expense,,,Transaction ID is 000119023223 . 1553951638 has recharged your account with 30.00 Taka.
2025-08-06 21:54,Telecharge,Multiple matching accounts,30.00,Expense,,,Transaction ID is 000118856778 . 8801513905199 has recharged your account with 30.00 Taka.
2025-08-06 15:16,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000118650151 . 8801513905199 has recharged your account with 20.00 Taka.
2025-08-05 22:43,Telecharge,Multiple matching accounts,10.00,Expense,,,Transaction ID is 000118439588 . 8801513905199 has recharged your account with 10.00 Taka.
2025-08-05 21:47,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000118417284 . 8801513905199 has recharged your account with 20.00 Taka.
2025-08-05 17:33,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000118264165 . 8801513905199 has recharged your account with 20.00 Taka.
2025-08-04 18:32,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000117878204 . 1513925418 has recharged your account with 20.00 Taka.
2025-08-04 15:07,Telecharge,Multiple matching accounts,30.00,Expense,,,Transaction ID is 000117790767 . 8801513926066 has recharged your account with 30.00 Taka.
2025-08-03 19:13,Telecharge,Multiple matching accounts,35.00,Expense,,,Transaction ID is 000117478347 . 1513925418 has recharged your account with 35.00 Taka.
2025-08-03 07:48,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000117216543 . 8801513905199 has recharged your account with 20.00 Taka.
2025-08-02 21:14,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000117141774 . 8801513905199 has recharged your account with 20.00 Taka.
2025-08-02 15:06,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000116963425 . 8801513905199 has recharged your account with 20.00 Taka.
2025-08-02 13:46,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000116939162 . 8801513905199 has recharged your account with 20.00 Taka.
2025-08-02 09:59,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000116846750 . 8801513905199 has recharged your account with 20.00 Taka.
2025-08-01 23:18,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000116782866 . 8801513905199 has recharged your account with 20.00 Taka.
2025-08-01 22:50,Telecharge,Multiple matching accounts,10.00,Expense,,,Transaction ID is 000116777521 . 8801513905199 has recharged your account with 10.00 Taka.
2025-08-01 11:25,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000116504084 . 8801513905199 has recharged your account with 20.00 Taka.
2025-07-31 14:43,Telecharge,Multiple matching accounts,10.00,Expense,,,Transaction ID is 000116170705 . 8801513905199 has recharged your account with 10.00 Taka.
2025-07-30 17:30,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000115812469 . 8801513926067 has recharged your account with 20.00 Taka.
2025-07-30 09:52,Telecharge,Multiple matching accounts,30.00,Expense,,,Transaction ID is 000115642074 . 1513925418 has recharged your account with 30.00 Taka.
2025-07-29 11:24,Telecharge,Multiple matching accounts,50.00,Expense,,,Transaction ID is 000115286073 . 8801513905199 has recharged your account with 50.00 Taka.
2025-07-29 09:32,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000115240388 . 8801513905199 has recharged your account with 20.00 Taka.
2025-07-28 23:08,Telecharge,Multiple matching accounts,30.00,Expense,,,Transaction ID is 000115182724 . 8801513926066 has recharged your account with 30.00 Taka.
2025-07-23 17:30,Telecharge,Multiple matching accounts,11.00,Expense,,,Transaction ID is 000113010104 . 8801513905199 has recharged your account with 11.00 Taka.
2025-07-22 16:03,Telecharge,Multiple matching accounts,30.00,Expense,,,Transaction ID is 000112571644 . 8801513905199 has recharged your account with 30.00 Taka.
2025-07-21 19:34,Telecharge,Multiple matching accounts,30.00,Expense,,,Transaction ID is 000112255486 . 1513925418 has recharged your account with 30.00 Taka.
2025-07-20 20:56,16216,SMS could not be parsed: NotATransaction,,,,,"Cash-In from A/C: ***106 Tk50.00 Fee: Tk.00, Your A/C Balance: Tk55.00.TxnId:5579904260 Date:20-JUL-25 08:56:05 pm. Download https://bit.ly/nexuspay"
2025-07-20 10:09,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000111620612 . 8801513905199 has recharged your account with 20.00 Taka.
2025-07-16 23:21,Telecharge,Multiple matching accounts,10.00,Expense,,,Transaction ID is 000110422368 . 8801513905199 has recharged your account with 10.00 Taka.
2025-07-16 09:14,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000110021917 . 8801513905199 has recharged your account with 20.00 Taka.
2025-07-15 12:26,16216,Multiple matching accounts,30.00,Expense,,5566936856,"Tk30.00 debited to recharge mobile 01581047578, Your A/C Balance:Tk5.00 TxnId: 5566936856 Date:15-JUL-25 12:25:47 pm. Pls download https://bit.ly/nexuspay"
2025-07-15 12:26,Telecharge,Multiple matching accounts,30.00,Expense,,,Transaction ID is 000109645645 . 8801553947096 has recharged your account with 30.00 Taka.
2025-07-14 14:31,16216,Multiple matching accounts,20.00,Expense,,5564767999,"Tk20.00 debited to recharge mobile 01581047578, Your A/C Balance:Tk35.00 TxnId: 5564767999 Date:14-JUL-25 02:30:42 pm. Pls download https://bit.ly/nexuspay"
2025-07-14 14:31,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000109230905 . 8801553947096 has recharged your account with 20.00 Taka.
2025-07-13 21:50,16216,SMS could not be parsed: NotATransaction,,,,,"Cash-In from A/C: ***106 Tk100.00 Fee: Tk.00, Your A/C Balance: Tk105.00.TxnId:5563425411 Date:13-JUL-25 09:50:18 pm. Download https://bit.ly/nexuspay"
2025-07-13 18:56,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000108889944 . 1513925418 has recharged your account with 20.00 Taka.
2025-07-13 16:39,Telecharge,Multiple matching accounts,130.00,Expense,,,Transaction ID is 000108812954 . 1513925415 has recharged your account with 130.00 Taka.
2025-07-13 13:48,Telecharge,Multiple matching accounts,180.00,Expense,,,Transaction ID is 000108749393 . 8801553972530 has recharged your account with 180.00 Taka.
2025-07-13 12:29,Telecharge,Multiple matching accounts,30.00,Expense,,,Transaction ID is 000108711268 . 1513925415 has recharged your account with 30.00 Taka.
2025-07-13 10:21,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000108608455 . 1513925418 has recharged your account with 20.00 Taka.
2025-07-11 22:09,Telecharge,Multiple matching accounts,20.00,Expense,,,Transaction ID is 000107986066 . 8801513905199 has recharged your account with 20.00 Taka.
2025-07-11 16:31,Telecharge,Multiple matching accounts,15.00,Expense,,,Transaction ID is 000107762199 . 8801513905199 has recharged your account with 15.00 Taka.
2025-07-10 18:00,+8801969926075,Multiple matching accounts,1500.00,Expense,DPDC,,"Dear Customer, Tk. 1500 (Details : Energy Cost:1435.68,VAT:71.43:Rebate Amount-7.11) is successfully recharged for Meter no 70039035 and Customer no 32205988. Your meter balance is Tk. 481.63 as on 2025-07-10.  Thanking You,  DPDC."
2025-07-10 18:00,16216,SMS could not be parsed: NotATransaction,,,,,"Tk1,500.00 paid to DPDC Id 1011 Bill No 32205988 TxnId:5553195904 Fee: Tk.00 Date:10-JUL-25 06:00:17 pm."
